n_features,loss_added,wmdp-bio,high_school_us_history,college_computer_science,high_school_geography,human_aging,college_biology,wmdp-bio_prob,high_school_us_history_prob,college_computer_science_prob,high_school_geography_prob,human_aging_prob,college_biology_prob
1,-4.76837158203125e-08,0.9244186282157898,1.0,1.0,1.0,1.0,1.0,0.9836583733558655,0.9919098615646362,0.9987294673919678,0.9971907138824463,0.9905041456222534,0.9965599179267883
2,-4.76837158203125e-08,0.819767415523529,1.0,1.0,1.0,1.0,0.8666667342185974,0.9551687836647034,0.9919098615646362,0.9987294673919678,0.9971907138824463,0.9904688596725464,0.9795900583267212
4,-4.76837158203125e-08,0.6627907156944275,1.0,1.0,0.9666666984558105,1.0,0.8000000715255737,0.9337700009346008,0.9919098615646362,0.9987294673919678,0.9972088932991028,0.9947165250778198,0.9526681900024414
8,-0.000526881217956543,0.5581395626068115,1.0,1.0,0.9666666984558105,0.875,0.6666666865348816,0.9230600595474243,0.9919052124023438,0.9987244606018066,0.9972106218338013,0.976401686668396,0.9608808755874634
16,0.08596739768981934,0.4651162624359131,1.0,1.0,0.9333333969116211,0.71875,0.6666666865348816,0.9092875719070435,0.9884516596794128,0.9986944198608398,0.9970628619194031,0.9179883003234863,0.9609403014183044
32,0.09403417110443116,0.3720930218696594,1.0,1.0,0.9000000357627869,0.6875,0.6666666865348816,0.8784953355789185,0.9865300059318542,0.9975298047065735,0.9846777319908142,0.9058351516723633,0.9467093348503113
64,0.22558932304382323,0.35465115308761597,1.0,1.0,0.9000000357627869,0.625,0.6666666865348816,0.8672212958335876,0.9773986339569092,0.9974336624145508,0.9815521836280823,0.888418436050415,0.950410008430481
128,0.5199399709701538,0.25581395626068115,0.8148148059844971,0.75,0.8000000715255737,0.46875,0.46666669845581055,0.7400313019752502,0.9050561189651489,0.4556112587451935,0.8837405443191528,0.777179479598999,0.681212306022644
256,1.1422367811203002,0.2732558250427246,0.6666666865348816,0.125,0.6666666865348816,0.4375,0.40000003576278687,0.3722515404224396,0.4900332987308502,0.17887014150619507,0.45187586545944214,0.39442354440689087,0.47418108582496643
512,2.1593621969223022,0.2616279125213623,0.5555555820465088,0.0,0.46666669845581055,0.34375,0.2666666805744171,0.3272792100906372,0.37931522727012634,0.09957429766654968,0.3692508935928345,0.36729398369789124,0.48313644528388977
